1000000,,
Bocks,Threads,No stride
100,100,3.4465984
100,200,2.7211968
100,300,3.4362048
100,400,3.302336
100,500,3.126464
100,600,3.1047616
100,700,2.976512
100,800,3.0005056
100,900,2.7422464
100,1000,2.6871296
200,100,3.1905856
200,200,2.519456
200,300,2.96944
200,400,2.8671296
200,500,2.6241856
200,600,2.8949632
200,700,2.5816128
200,800,2.7381312
200,900,2.4224576
200,1000,2.4900416
300,100,3.5754304
300,200,2.9040768
300,300,2.48432
300,400,2.5452672
300,500,2.507712
300,600,2.237216
300,700,2.651264
300,800,2.6820288
300,900,2.3586816
300,1000,2.7326912
400,100,3.5619392
400,200,2.8039552
400,300,2.677152
400,400,2.6130816
400,500,2.68336
400,600,2.549504
400,700,2.3827456
400,800,1.7539456
400,900,2.0950336
400,1000,2.2576832
500,100,2.8525952
500,200,2.607936
500,300,2.7218624
500,400,2.6955904
500,500,2.6409472
500,600,2.0835008
500,700,2.5357696
500,800,2.5064256
500,900,2.3641664
500,1000,2.6528256
600,100,3.121248
600,200,3.0444416
600,300,2.3192384
600,400,2.9190528
600,500,2.4111488
600,600,2.73648
600,700,2.5521728
600,800,2.2709888
600,900,2.3849344
600,1000,1.838688
700,100,3.1807936
700,200,2.5670592
700,300,2.6299072
700,400,2.6340608
700,500,2.3172544
700,600,2.597184
700,700,2.3986304
700,800,2.39488
700,900,1.928928
700,1000,2.6382144
800,100,3.0496256
800,200,2.5078144
800,300,2.3175424
800,400,2.1879808
800,500,2.4772352
800,600,2.315616
800,700,2.1824192
800,800,1.7407424
800,900,2.3997952
800,1000,2.7772992
900,100,2.8039744
900,200,2.5296768
900,300,2.5759808
900,400,2.5415232
900,500,2.271168
900,600,2.3171776
900,700,2.6703552
900,800,2.6555264
900,900,2.19392
900,1000,1.8018624
1000,100,2.7271424
1000,200,2.407872
1000,300,2.4942016
1000,400,2.5404928
1000,500,2.299168
1000,600,2.2830784
1000,700,2.4888384
1000,800,1.9631296
1000,900,2.7578752
1000,1000,2.5730048
